origin_zone,destination_zone,month,shipments,charged_weight,basic_freight,total_freight,vas_freight,avg_shipment_base_yield,avg_shipment_total_yield,base_yield,total_yield,vas_yield,yield_uplift,avg_weight_per_shipment,weight_share_pct,basic_freight_share_pct,total_freight_share_pct,base_yield_mom_abs,base_yield_mom_pct,total_yield_mom_abs,total_yield_mom_pct,vas_yield_mom_abs,vas_yield_mom_pct,charged_weight_mom_abs,charged_weight_mom_pct,shipments_mom_abs,shipments_mom_pct
EAST ZONE RO,NORTH ZONE RO,May,40,10922.0,66750.8,81347.3,14596.5,6.95125,8.18547860990861,6.111591283647684,7.448022340230727,1.3364310565830435,1.3364310565830433,273.05,0.03486009867814939,0.020735101406640567,0.020084015414926548,0.3085768885076945,5.317527538207158,0.8217424053830422,12.401263053519504,0.5131655168753485,62.33292809238083,-34510.0,-75.95967599929565,-122.0,-75.30864197530865
EAST ZONE RO,NORTH ZONE RO,June,104,42618.0,254695.5,299715.45,45019.95,7.079326923076923,8.160141418058497,5.9762424327748835,7.0326024215120375,1.0563599887371533,1.056359988737154,409.78846153846155,0.13602524129878873,0.07911720938647959,0.07399741254954555,-0.13534885087280024,-2.2146253666363913,-0.41541991871868955,-5.577586904845678,-0.2800710678458902,-20.95664168131273,31696.0,290.2032594762864,64.0,160.0
EAST ZONE RO,NORTH ZONE RO,July,82,23120.29,148534.1,180125.59,31591.489999999998,6.948170874190341,8.05378669848436,6.424404711186581,7.790801499462161,1.3663967882755794,1.3663967882755799,281.95475609756096,0.07379377319789696,0.04613981593994515,0.04447160663209153,0.4481622784116972,7.4990645619375735,0.7581990779501231,10.781202071524289,0.3100367995384261,29.34954019879774,-19497.71,-45.74994133934018,-22.0,-21.153846153846153
EAST ZONE RO,EAST ZONE RO,April,63,67570.93000000001,304613.12,490375.83,185762.71,6.559948049333114,15.237734885983677,4.50804983740789,7.257201136642635,2.7491512992347444,2.749151299234745,1072.5544444444445,0.21566831052685637,0.09462334433434763,0.1210699768625068,,,,,,,,,,
EAST ZONE RO,EAST ZONE RO,May,76,47451.29,309514.68,554202.51,244687.83,7.634127854349003,19.450045595299557,6.522787473217272,11.679398178637504,5.156610705420231,5.156610705420232,624.3590789473684,0.1514518084421794,0.09614593797593295,0.13682828752559684,2.0147376358093814,44.692000054902834,4.422197041994869,60.93529666232578,2.407459406185487,87.57100443528257,-20119.640000000007,-29.775585447765785,13.0,20.634920634920636
EAST ZONE RO,EAST ZONE RO,June,93,38175.144,249801.58,415330.44,165528.86,7.267529389308809,15.137789192036356,6.543566148696125,10.879603754736328,4.336037606040202,4.336037606040203,410.4854193548387,0.12184483491050747,0.07759698899247704,0.10254185399205905,0.02077867547885326,0.3185551509101135,-0.7997944239011758,-6.8479078430946885,-0.8205730993800291,-15.913031761686138,-9276.146,-19.54877517555371,17.0,22.36842105263158
EAST ZONE RO,EAST ZONE RO,July,85,39011.93,278196.97,496280.56,218083.59,8.382721492052273,22.84558649121823,7.131074263693183,12.72125116598948,5.590176902296298,5.590176902296298,458.9638823529412,0.12451563169978544,0.08641757677765874,0.12252780875540281,0.5875081149970578,8.978408739921196,1.8416474112531525,16.927522847065173,1.2541392962560955,28.92362590465198,836.7860000000001,2.191965536528166,-8.0,-8.602150537634408
EAST ZONE RO,NORTH EAST ZONE RO,April,568,215773.04,1686008.96,2016581.56,330572.6,7.5971530058859615,9.6042609170523,7.8138073227313285,9.345845801681248,1.5320384789499186,1.5320384789499197,379.88211267605635,0.6886897515550517,0.5237325508923428,0.49787829634783975,,,,,,,,,,
EAST ZONE RO,NORTH EAST ZONE RO,May,529,239500.46,1974434.83,2448048.83,473614.0,8.138163711253805,10.76965590701792,8.243970930160218,10.221478614279071,1.977507684118853,1.9775076841188532,452.7418903591682,0.7644213211007298,0.6133275769107356,0.6044042081078647,0.4301636074288897,5.5051729542586845,0.8756328125978232,9.369219556782152,0.4454692051689344,29.076894039519516,23727.419999999984,10.996471106863018,-39.0,-6.866197183098592
EAST ZONE RO,NORTH EAST ZONE RO,June,684,261172.965,2223925.58,2755052.8,531127.22,8.511123375057984,11.085937501812678,8.51514466667712,10.548767174274719,2.033622507597599,2.033622507597599,381.83182017543857,0.8335941523498313,0.6908280113814657,0.6802010995341768,0.2711737365169018,3.2893582329945414,0.32728855999564743,3.2019688378395275,0.05611482347874586,2.837653877625753,21672.505000000005,9.049045250267998,155.0,29.300567107750474
EAST ZONE RO,NORTH EAST ZONE RO,July,778,291025.645,2358848.42,3049138.8,690290.38,8.499395660293494,12.239215851586998,8.105294019707438,10.477216878945494,2.3719228592380577,2.3719228592380563,374.0689524421594,0.9288759112408052,0.7327397003720386,0.7528086446809007,-0.4098506469696819,-4.81319652235126,-0.07155029532922441,-0.6782811123532438,0.3383003516404588,16.635356383821048,29852.680000000022,11.430233600173748,94.0,13.742690058479532
EAST ZONE RO,NEPAL ZONE,April,186,148524.56,1237287.43,1724726.75,487439.32,8.822147210727133,19.375869062550613,8.330524123417703,11.612401006271286,3.2818768828535836,3.2818768828535827,798.5191397849462,0.4740506150639736,0.38434416261994897,0.4258216146514533,,,,,,,,,,
EAST ZONE RO,NEPAL ZONE,May,194,155336.166,1338044.19,1866353.91,528309.72,8.564127632707098,17.250915857500843,8.6138613077395,12.014934822068415,3.4010735143289166,3.4010735143289157,800.7018865979381,0.4957914370120302,0.41564268842045693,0.4607882584689158,0.28333718432179644,3.40119277159663,0.40253381579712944,3.466413324684023,0.11919663147533299,3.631965357935421,6811.606,4.586181571586544,8.0,4.301075268817204
EAST ZONE RO,NEPAL ZONE,June,219,131996.754,1075935.36,1607461.43,531526.07,8.876178221505201,19.544658240303097,8.151225900600558,12.178037575075521,4.026811674474965,4.026811674474963,602.724904109589,0.42129828507923545,0.33422264297342247,0.3968697195729898,-0.4626354071389418,-5.370824890380657,0.16310275300710586,1.357500106513496,0.6257381601460485,18.398254477881117,-23339.41200000001,-15.025098533718163,25.0,12.88659793814433
EAST ZONE RO,NEPAL ZONE,July,208,203026.712,1474908.07,2022008.26,547100.19,7.979595675386775,17.3434560801386,7.264601073773977,9.959321313345212,2.694720239571234,2.694720239571235,976.0899615384616,0.6480068865244659,0.458157331401609,0.4992181063532386,-0.8866248268265808,-10.877196113056527,-2.218716261730309,-18.21899668195555,-1.332091434903731,-33.08054964048984,71029.95800000001,53.81189752590433,-11.0,-5.0228310502283104
WEST ZONE RO,NORTH ZONE RO,April,19,41566.0,239924.7,287969.86,48045.16,10.19421052631579,13.879253510654936,5.772138286099216,6.92801472357215,1.1558764374729347,1.1558764374729336,2187.684210526316,0.13266753906390383,0.07452888930855983,0.07109751776978757,,,,,,,,,,
WEST ZONE RO,NORTH ZONE RO,May,29,60270.0,371054.3,433883.19,62828.89,9.607471264367817,12.899156426682568,6.156533930645429,7.198991040318567,1.0424571096731374,1.0424571096731379,2078.2758620689656,0.19236569743014684,0.11526226708698668,0.10712238360999693,0.38439564454621244,6.659501652480077,0.27097631674641676,3.9113126567764973,-0.11341932779979724,-9.812409365118926,18704.0,44.998315931289994,10.0,52.63157894736842
WEST ZONE RO,NORTH ZONE RO,June,17,43878.0,286768.5,352723.0,65954.5,8.291492135968046,10.576026146598478,6.535587310269383,8.038720999133963,1.503133688864579,1.5031336888645797,2581.0588235294117,0.14004682382346081,0.08908018971653081,0.0870845641981865,0.37905337962395436,6.156928295922114,0.8397299588153961,11.664550686511715,0.46067657919144156,44.191418036938394,-16392.0,-27.19761075161772,-12.0,-41.37931034482759
WEST ZONE RO,NORTH ZONE RO,July,20,35197.0,275890.4,360217.0,84326.6,9.4717,12.749313715208642,7.838463505412394,10.234309742307582,2.3958462368951903,2.3958462368951885,1759.85,0.1123393969213353,0.08570107655816304,0.08893477448813415,1.3028761951430106,19.935105037856328,2.1955887431736194,27.31266259160079,0.8927125480306113,59.39009647937163,-8681.0,-19.78440220611696,3.0,17.647058823529413
WEST ZONE RO,EAST ZONE RO,April,333,334939.4,3947157.61,4947937.6,1000779.99,13.497208582272961,23.347329726824558,11.784691827835124,14.772635288652214,2.9879434608170907,2.9879434608170907,1005.8240240240241,1.069036855447734,1.2261233320251295,1.2216072940404248,,,,,,,,,,
